Freq,Amp,Phs
48,1.22214e-12,38.538
47.5,1.10845e-12,71.028
47,1.50636e-12,40.536
46.5,1.96111e-12,38.508
46,9.09502e-13,24.702
45.5,1.27898e-12,28.908
45,1.08003e-12,-25.386
