Freq,Amp,Phs
48,9.66345e-13,9.78
47.5,1.10845e-12,28.476
47,1.22214e-12,7.698
46.5,1.19372e-12,90
46,7.10546e-13,47.814
45.5,7.38968e-13,-9.042
45,1.96111e-12,32.214
