Freq,Amp,Phs
45,1.19372e-12,-14.418
45.5,9.09502e-13,19.722
46,1.64847e-12,44.184
46.5,1.08003e-12,35.136
47,8.52655e-13,36.432
47.5,9.09502e-13,49.398
48,7.10546e-13,1.332
