Freq,Amp,Phs
48,1.47794e-12,60.252
47.5,1.33583e-12,10.62
47,7.10546e-13,24.774
46.5,1.42109e-12,26.862
46,8.81076e-13,33.69
45.5,9.66345e-13,11.688
45,8.81076e-13,21.804
