Freq,Amp,Phs
48,7.95811e-13,58.242
47.5,1.22214e-12,-32.004
47,9.66345e-13,15.678
46.5,1.02319e-12,24.522
46,1.47794e-12,1.29
45.5,1.25056e-12,-3.012
45,4.54751e-13,30.258
