Freq,Amp,Phs
48,1.10845e-12,36.024
47.5,1.5632e-12,10.956
47,1.13688e-12,45
46.5,8.24233e-13,37.776
46,5.40016e-13,73.14
45.5,1.02319e-12,31.908
45,1.70531e-12,25.08
