Freq,Amp,Phs
45,1.62004e-12,37.104
45.5,1.39267e-12,7.464
46,8.81076e-13,32.226
46.5,9.09502e-13,33.978
47,2.55797e-12,17.376
47.5,2.01796e-12,53.694
48,2.13164e-12,45.63
