Freq,Amp,Phs
48,1.25056e-12,60.066
47.5,9.94767e-13,61.314
47,1.1653e-12,28.026
46.5,1.19372e-12,32.592
46,8.52655e-13,46.548
45.5,7.95811e-13,57.618
45,7.38968e-13,60.102
