Freq,Amp,Phs
45,1.64847e-12,6.984
45.5,1.50636e-12,27.12
46,1.93269e-12,7.368
46.5,2.38744e-12,4.794
47,1.96111e-12,4.806
47.5,1.39267e-12,41.124
48,9.09502e-13,36.87
