Freq,Amp,Phs
45,7.38968e-13,27.12
45.5,1.10845e-12,-6.708
46,1.93269e-12,37.266
46.5,2.0748e-12,25.344
47,7.10546e-13,-24.774
47.5,1.98953e-12,-3.816
48,1.53478e-12,-0.618
