Freq,Amp,Phs
45,7.38968e-13,61.188
45.5,9.66345e-13,64.746
46,1.70531e-12,26.316
46.5,1.39267e-12,-9.462
47,1.98953e-12,52.458
47.5,1.33583e-12,36.444
48,9.66345e-13,64.746
