Freq,Amp,Phs
45,1.67689e-12,41.4
45.5,1.10845e-12,84.954
46,8.81076e-13,12.996
46.5,1.5632e-12,32.52
47,1.67689e-12,31.83
47.5,7.38968e-13,48.576
48,1.79057e-12,27.27
