Freq,Amp,Phs
48,1.44951e-12,38.97
47.5,1.19372e-12,-16.926
47,9.09502e-13,-9.294
46.5,5.96859e-13,69.078
46,1.36425e-12,40.074
45.5,1.36425e-12,34.26
45,8.24233e-13,62.406
