Freq,Amp,Phs
45,6.82124e-13,36.324
45.5,1.76215e-12,-4.806
46,1.39267e-12,21.036
46.5,1.79057e-12,18.942
47,6.25281e-13,53.43
47.5,1.08003e-12,69.342
48,9.09502e-13,11.31
