Freq,Amp,Phs
45,1.10845e-12,49.212
45.5,7.95811e-13,33.024
46,1.13688e-12,27.678
46.5,9.66345e-13,57.678
47,4.83173e-13,43.602
47.5,1.76215e-12,28.95
48,2.0748e-12,16.566
